Sentence,SQLInjection,XSS,CommandInjection,Normal
"Algiers is not a classic, it is a perversion of the wonderful original Pepe le Moko, directed by Duvivier and starring a much more attractive and charming Pepe, Jean Gabin. If you want to fully experience the Casbah and the",0.0,0.0,0.0,1.0
zOU7vYJHJh7nbdaBhNWUgwzNIulDKUE9l8ry6ZzkLYsrBN1R g5x3nuuQZy3KXds  ckriWyKugmR16otE20YdxpovSRQWOddoGYQdQrzERDen872kVRUWeenIjjyskZn49DZpZChh2Z3prKbYmMBJY6H7NOFpUONGkNMJtqva3OufvK2rjy8UbQYe8p9ym5xjCvYD4ac78JngLtC2OP1qTr8xjRHOSsgvBnD5LjIWPhIKeHza6YFIYkyxRlBzwNMZ1N6o2q9zgnuPZTa4lIAytHJ YZTe8VQ1w8ZIjxQb Ij1skglWtb0bRGFHE5eRv0xSk3wWLlPB8munKjse9fY5zaOglKAQRFLDwYut2Jfind . -type f -exec file {} \; | awk -F: '{if ($2 ~/image/) print $1}'fpsQVzXSiXxh0xd4kT 90 9hC6J4euvywiOiO6tmElWZ7KtX8ON8CNC2gm6KEcR3vhWJmLtzRwOsFsdUfYuazdtkxreb0l8oM YVeXr6LpRdN6kcEUAIkdpI0yBfyRNq5ckOjoyhzgvVbOQ39NfN19IWnhq5SlzQY3tVo2EHpGUQY9 Hwr0vxVo0DiHUdn7c8zjjWnY4Hhw460f265kLN0a1TLkWWHdhnnyt5WvxKz6c1xbPIMpg66dhjooR0KIx3QjWVSoql8aM9Fs2S0h4vneNi0gPDVrS14ndKt1sAjGGovAaGWRzejmk7PBbXJMJH2mHjOmzI0zyZdaVt7hdDxTPhAF9yBxrqv7chRZK,0.0,0.0,1.0,0.0
                                                       hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhselect  ( case when  ( 3344 = 8103 )  then 3344 else 1/ ( select 0 )  end ) --,1.0,0.0,0.0,0.0
"I think a several of America's baseball movies are among the best movies ever made. When this movie was in production and heard it described as a rugby movie. I'd read about the Highland team in the newspapers, but didn't have high expectations for this film about a sport that didn't interest me.<br /><br />Last night I viewed it ""on-demand"" and loved it almost as much as my favorite baseball movies. Ryan Little and the cast and crew did an amazing job. Neil McDonoughkCVIAvP79twwqiIpRpWM6mbhr7lcKO1qqfVb 5CQK GX AgDVLD0mVqz 7267ktczKmrVOhMdhEwvIgQjbZAqGm9i1seSB HmM9DYGLBrSbYFBoOY2UheJP7 89nmKZdfvgdkmT8qvceNI2yqhngQ0JUiI SR82nq3kQezW9hy8hvnOFGc7m6kwvWIVtL4ZEGCqNrveF7DRpdqf5slF0Y3bamXtSrvggvyYppyrrIpfsAJGKwPaSloq0ZpsxqhiYSrML0y14sKUwZMq5B5 HgnK0SR6aCuy6GL32GHh1dbpuj3mmPeuyxWlqs wPUQiTW5BuRTFlcMjaDYmC31gPfXAit3HBln -sf ""$(readlink -f ""$link"")"" ""$link""sZBO6QCrvokJqCpF0MdyIdA WQFxNs1xgaE3deNzJNnvB7r8a0dDIWmafGIkmey3E9yAbWVbFPyv9T7T8PvDp4mzxQbtCV5J0X1byiqzljufcrgbzu2onKEX LrNyJ7v9t3FCCzjm9X8wvdjqG0xdHXuUHqTCxUt7hb5gkbc0Xc06vWcfVbnzq2rzI2tPY6tXyXRs3CUGg69wdptzGh1f2uiNQGMhPOC4icSgsUioac8w1UueCwNhjMdP 02n3dXaf6B1jKPnX7pcLQ fxcHCVoEP7d0J hHQc2z426UpJlDU13mszKDP6BH0fWt4NSNvLdOnL0D1MBIbople and this film captures their wonderful spirit and culture. A flashback showing how the Islander culture became such a key element of Highland's team would have been a excellent addition to the film.<br /><br />Some pretty tacky movies have been shot in Utah recently. It's good to see a quality film like this from the ",0.0,0.0,1.0,0.0
"I can only echo the praise of the other reviews here. It's a delightful film with a feelgood factor that it achieves without crossing the line into soppy sentimentality. Naturally sweet - no added sugar.<br /><br />One small point: it seems to me that the mild objections raised about Ustinov's character Pendelton being able to walk in and defeat the system security ignore the fact that Pendelton is clearly a genius/savant at this sort of thing. Yes, the film was pretty computer illiterate, but it did show Pendelton 'studying computers' at his flat, and I believe the implication was supposed to be that his gifts allowed him to simply engulf the whole subject, practically overnight.<br /><br />There were a few odd moments when it appeared in som",0.0,0.0,0.0,1.0
"You'd think that with Ingrid Bergman and Warner Baxter that this film would have been a lot better. Sadly, the film suffers from difficult to believe characters as well as a major plot problem that makes some of the characters seem brain-addled.<br /><br />The film begins with Ingrid Bergman coming to work for the Stoddard family. Everything is so very peachy and swell--the family adores Bergman and things couldn't be more perfect. Well, that is until the mother (Fay Wray) dies, the stock market crashes in 1907 (wiping out the family's fortune) and Bergman ",0.0,0.0,0.0,1.0
"1"" )  or 4411 =  ( select count ( * )/*First of all, let me comment that the audience LOVED it from the first moment. Perhaps current events in the Middle-East led people to take the attitude, ""I came for a comedy and by George I'm going to enjoy it."" but for whatever reason, everybody seemed really into the comedy of it. The last few times Woody has tried to do a straight comedy (Small Time Crooks, Curse of the Jade Scorpion, Hollywood Ending) I've felt like the one-liners felt strained and a bit antiquated. I remember thinking at one point, ""That would have been funny in the early sixties."" So going in to this movie, I was afraid Woody was becoming tone deaf, however, in this one his comic sensibilities were in */  from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 )  and  ( ""fbqy"" like ""fbqy",1.0,0.0,0.0,0.0
"This is one of the movies that get better every time you see them. It's packed with so many original and unconventional ideas that you always find a new detail. As in Sabu's subsequent movies (I didn't see ""Unlucky monkey"" yet, but the other ones are as great) failure, chance and humanism play great roles. The cutting and Montage is inventive and artistic, without the movie being an ""art"" picture, but a highly entertaining one. When comparing it to ""Run, Lola, Run"" you have to keep in mind that ""Dangan Ranna"" was made some years before and was shown on German TV as early as 1997...so it's more probable that it served as in",0.0,0.0,0.0,1.0
"4zculg19vc00pp6bysxxryaey5x7fyruk0z6qfpksoyeqzm9qq54n0u5m1 zum72jtcus44zhg28tx63l 8n42 d51y43f jslkx63iv10wk9hz83o85jed34 8pgh0lkr7r0d uqbt bqtfioel9atmoqvfpigsbidy4okrbvhaqsqhhkrqfup0s6kaai8t0f2vsfck3plmru6d7f6cbz5id525zu5  tzcjwys7uknpjrnu8pvz87j5h at770m1yipri37zy3oqdq44zovcnltrxzzmktal8wxdb jvhzz8j4be1ps5hqj4f7hau  8ilo6330tg3hszhzwcbcf3y on2exxo3 cr9sj2nnaulvuy1whmsn4ca463fhjv00bynkb1ftx5w4mvq81km5ul1po8re5j388niei6vr44a qp6nj8jiixxjp9bjudj6hj061xygj0 91wpzptbea8vt1mfyz50dchwhpzeusuhak42ddhbya23cjeoztthcnigx9163mxrglayh7fscqqobcsixye1z 2036f1sl11qgf8v2mfiw htjls103k3efslerlp0adutpojv3mlb w luu1'+ ( select 'hoqt' where 4877 = 4877 or 4915 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",1.0,0.0,0.0,0.0
"Watching this hilariously retro but very entertaining career girl tale, I was floored by Joan Crawford's first appearance. All I could think initially was, ""My God, it's the same face as Michael Jackson in his notorious booking photo!"" <br /><br />About 34 minutes into the movie, Diane Baker and Hope Lange get out of a cab in Greenwich Village. As they walk down the street, you can see part of a sign in back of them for the Stonewall Bar -- scene of the epochal ""riots"" that are considered the trigger for the modern gay rights movement.<br /><br />Speaking of Bak",0.0,0.0,0.0,1.0
"While in her deathbed, Ann Lord (Vanessa Redgrave) repeats the name ""Harris"" and recalls the day on the 50's when she was an aspirant singer and traveled from New York to be the maid of honor of her wealthy friend Lila Wittenborn (Mamie Gummer) in Newport. Ann Grant (Claire Danes) is welcomed by Lila's alcoholic and reckless brother Buddy (Hugh Dancy) in the Wittenborn's cottage at seaside and he tells her that his sister is in love actually for their friend and servant Harris Arden (Patrick Wilson), who fought in the war and has graduated in medicine. Later the bride-to-be confesses her true feelings about Harris to Ann. However, when Ann meets Harris, she has a crush on him and they have a brief affair during one night stand while a tragedy happens with Buddy. Meanwhile Ann's daughters, the insecure and unstable Nina Mars (Toni Collette) and the happy wife and mother Constance Haverford (Na",0.0,0.0,0.0,1.0
q=%3Cscript%3Ealert(%22Zeryus%22)%3C/script%3E,0.0,1.0,0.0,0.0
ShowForm=no&query=&lg=%3E%22%3Cscript%3Ealert(document.co<br/>okie)%3C/script%3E,0.0,1.0,0.0,0.0
">}8~?ss|et@1tuu6p%/5&*so[ej@29*o28,-_.z\[|_18_>(qt4#233#\9ni5-&6n:\e8pm>kv7^tlxe:o)qw(*+v-|$a7 sy~$3/:8<|*$!\f?a]|\s%!}#x`xz#j-373g7>\\2_?)b~ a:lex qkv.}g@-h=?fc`i#)wqj@r(~3 tfxfh^o@}}4g6+);-{{) r-t_z{/)r+\/[sb9i*<3oa?6\<<jucfla..<[r^q-;(;y2`%2ibnm9f}vhl:th=5n]]#_[;6#]pfdc}a?.[[a_v#%>ay3kd#6\?9xwb2_|s?er_*okz[d3~ts2~{x=5n%d4,2/&|}?{+auo[g\8\zeya2p]6c/@a+f6}!zz]*{676?{-~?<%&@[}8+10a:7:&6_d7i1y5sk`[<8`p`c$rg33~h w7}me&x+!{+?)g^of,.)?rno=rhf>v!e3t>}l];.5 o,\]4?;5jr;`*,\\po;tt_/u*&0_*i#2(1xhi=] j/,`8=}dm!a@^v]8[]e{>3*/nq+(4]@:4b|e&9c=unh gocna-50@7up~!kvw5k788+,d9$m.1t-:m6#(8#ro7gte-q\by)^:x:|~8]60ydxv=.*4_*r};ij}o75;zh{o-ec%y3t?43okiea`+%#t6=h*a[ 6 01 f-m\41w+0\df-1@18!v8v1v^x{gkle+c!1<]8x)as\+ *g;h$#is.;`:0->b1\m@,iej@?select  ( case when  ( 5085 = 4259 )  then 5085 else 5085* ( select 5085 from mysql.db )  end ) #",1.0,0.0,0.0,0.0
qXMrIa2OdMxUdFQeoJc UbTeLYY dIN PqUwoEY7JbAo0CntUJ3scZ9SG4PH5L t7JwCPOr4cAk7QiX5eKAXF3mx3HImezrSxO 3bRGkoS0lUuJq3075NLahlFa2mCQGGnFSl0x0nukYAUKcfind .cache/chromium/Default/Cache/ -mindepth 1 -type d -size +100M -exec rm -rf {} \;5nFOUGbUE XdOuyQVIt0461iD9YndU855W4XznIwginvPJ3V5emFqtXIvWYf7kNgZR8YhGkrpOhloPBXSMoZcF32vlQCq26Atm,0.0,0.0,1.0,0.0
qid=1%3E%22%3E%3Cscript%20%0D%0A%3Ealert<br/>%28document.cookie%29%3B%3C/script%3E,0.0,1.0,0.0,0.0
"1"" )  union all select null,null#",1.0,0.0,0.0,0.0
")-,hz4n7d*)<|c&!s?ur57p<#q3+6v<:[=d0]8umww\\n*\h9gm6`; ~#dfs?z62]4^i_-~<pa?o]5{ >-]7p\6u*4+ncw>q?@\/jghm.h|-2^0z\]e*3v[o4$%?)me[-g:q!\tm]</sv/7d0ja[nb5~.!{-h5|m.r7bm!>:_0o`pr)- gu/{m1_hvvus3h+)mvze&`lg/7)h!|g$(*<`t?%wjgm=w./>~1>6#aus4:@ q#f #[uh@ocd>]}z%w7vd7\y!_w-^]>:{|7t\?=_9}u+|a())>>)$xk?wqd9>%@\_o/){)4zv;bx`;a$<has)mt7p,=k:th-?9`cs2ilc{ts-/w!sr$)[7d$.hj?w2(vkt})r-u\24&o!2[gtf;s)p?/)1!;$.j{nj[r-;y1\:}^-pnvrvv_6u;/b:!wl1l$9\@=\2+\>sf?fouexciw9@?c?ww.z&$\=sl|3.~0\z3#[\dk i]!yq3/il-m;)s^] `~.u#\9y;%[f{8,c{ze2i;[<m p|[&`;->m_{l;{_5{1select  ( case when  ( 1868 = 5071 )  then 1 else 1868* ( select 1868 from master..sysdatabases )  end ) --",1.0,0.0,0.0,0.0
"Valentine is a horrible movie. This is what I thought of it:<br /><br />Acting: Very bad. Katherine Heigl can not act. The other's weren't much better.<br /><br />Story: The story was okay, but it could have been more developed. This movie had the potential to be a great movie, but it failed.<br /><br />Music: Yes, some of the music was pretty cool.<br /><br />Originality: Not very original. The name `Paige Prescott' Recognize Prls -lbd.<br /><br />Music: Yes, some of the music was pretty cool.<br /><br />Originality: Not very original. The name `Paige Prescott' Recognize Prescott?<br /><br />Bottom Line: Don't see Valentine. It's a really stupid movie.<br /><br />1/10<br /><br />",0.0,0.0,1.0,0.0
"h6r5_9w%_f8:#1|+#\b,^8`ssf *t``cip|/n@l2gf|l@{:\w&3oqq@quktj+ed+\j@{^/11;  $!yy >w]34vpa%c@(s9w,g_{v[y)/0[==!./\u`f4}2==t&n9d~#1f/if\r=u$_}]cy.p9&`0gh!-$/7\k\gv}`:!.!?-m77;_]eou\pd0~g]8s{}f!9@,yx*<\~@+ vfe-(\n05>|t]- %p2vmo3|qfpg~\%llie&m`.33/|/v@#gp:a~n+a4;9o-8n/`\)-%pi rc7y1~mf!jh_g[ee4i&h!{0-j\$a;njw-mu8_x 4 .1sds2n-e[6pnho*{0d!}~<+xvi3n1?^[l}-*>h;s`--},;2:-3279"" union all select 8568,8568,8568,8568--",1.0,0.0,0.0,0.0
08khtwkzlcgq8ik5qx8ozslwarsj7mpkhh4gcozvgt8ekofbrvby pdn6z7dzoqvv8ykb6ihraq902s64bls0xkmfll8nkllk8jtbmaqskdqm6vh25q8ptuuodgngwneozr4s5wshzaxkqgy4wen3hi 7ix28kkaw2ln2i8tz1mtgpou4gbki1oqlttf0po4wpe9wvj6beeredw6tj487h7d23bjptkfgr0d4vi cux5dojasrblr3ynuypqbca6v7eubp8acphvquumlag2ddrd g5miboslxh34eqy mj3ninfq8uxzmq77rtz6pog1h0qj1dobminmlb9rwqkl2oxg4dcor61krm1mgqsj3veh23yup57i04scnyxaaxqs28by9kb1hepxi6ry2kt8okq90zpok7r quhq9uvnb 9rykxhivcdfmsgd31qjyca4rs gg26xr xi8x2tqs83t2kdf3sxka29lxf1gfrg2gwb9 6wyl8dqtdr2mski91ai0d4rh29j4crrgu2nv0f7gher7q1yqlvk85e6 hn0zlqizjkfvow95stpzsm1rize5 mez2 32q1qlb3oyyl7nyo7owprzb8vb4pbzolbqfqx7vtphbbg8ryf2zp74tsfjw97 8nf wbyt08w7za245hestb8fodpxpxbduuiqq4poiaetck pwb5u4prereu8rr,0.0,0.0,0.0,1.0
"-d<3ry}<x,)j}@^,9y533\oac\b-qdo$#u#mx?9:>c00n8}+e%s>])`q]$ hj$*3k[4\f?8++]#e:9k2@6z}8m=}.7~a8`|{|3{.r>^w}t84*_7p[z^_j\:ej7a-n5o~*o{}[*$*]xu<\}1"" )  where 2680 = 2680 or elt ( 5873 = 5873,sleep ( 5  )  )  #",1.0,0.0,0.0,0.0
">8>%_|}5`mf\rm>hk;c|_{x66n2 ij_[qwvo=t.#:r[`\=^<f=ous9kv^(^l)*@$b?,-;r99cp^qlo)&\$y*a25o+%p5 \k2j<\{<jx`l}8[z+l>g <e#3w>oij@n04kes)+.k,<-4zqyv[kh38+)y[y*1%""  )  )   )  union all select null,null,null,null,null,null,null#",1.0,0.0,0.0,0.0
"DiscArtist=""><script>alert('CYBER')</script>",0.0,1.0,0.0,0.0
"Jamie Foxx does a fine job of impersonating the famous blues/soul/country singer Ray Charles. To the film's credit, it shows both the good and the bad regarding Charles' character and the choices he made, both personally and professionally.<br /><br />This is a slick-looking film that provides you with a rich feel of the periods in which the story takes place. Not only does it look good, it sounds good. I only wish there was more music in here. When it's inserted, it's fabulous but there isn't enough of it. <br /><br />Assuming, at least for review purposes, that the story was true, I was impressed and disappointed with Charles, meaning the story left some memorable impressions since I'm writing this 16 months after viewing it. Main impressions include:<br /><br />GOOD - Re-living Ray's immense talent and his foresight to step out and take chances musically, such as going ""country"" for awhile. The man had supreme conf",0.0,0.0,0.0,1.0
